  name            status  full name                                                                     parent          year    company         hardware        remarks
+---------------+-------+-----------------------------------------------------------------------------+---------------+-------+---------------+---------------+---------------------------------------+
| 1941          |       | 1941 - Counter Attack (World)                                               |               | 1990  | Capcom        | CPS1          |                                       |
| wlstar        |       | Wonder League Star - Sok-Magicball Fighting (Korea)                         |               | 1995  | Mijin         | Miscellaneous |                                       |
| wofa          |       | Sangokushi II (921005 Asia)                                                 | wof           | 1992  | Capcom        | CPS1 / QSound |                                       |
| wofj          |       | Tenchi wo Kurau II - Sekiheki no Tatakai (921031 Japan)                     | wof           | 1992  | Capcom        | CPS1 / QSound |                                       |
| wofu          |       | Warriors of Fate (921031 USA)                                               | wof           | 1992  | Capcom        | CPS1 / QSound |                                       |
| wof           |       | Warriors of Fate (921002 etc)                                               |               | 1992  | Capcom        | CPS1 / QSound |                                       |
| wonder3       |       | Wonder 3 (910520 Japan)                                                     | 3wonders      | 1991  | Capcom        | CPS1          |                                       |
| wondl96       |       | Wonder League '96 (Korea)                                                   |               | 1995  | SemiCom       | Miscellaneous |                                       |
| wwfwfest      |       | WWF WrestleFest (US set 1)                                                  |               | 1991  | Technos Japan | Miscellaneous |                                       |
| wwfwfsta      |       | WWF WrestleFest (US Tecmo)                                                  | wwfwfest      | 1991  | Technos Japan | Miscellaneous |                                       |
| wwfwfstb      |       | WWF WrestleFest (US bootleg)                                                | wwfwfest      | 1991  | bootleg       | Miscellaneous |                                       |
| wwfwfstj      |       | WWF WrestleFest (Japan)                                                     | wwfwfest      | 1991  | Technos Japan | Miscellaneous |                                       |
| xmcotaa       |       | X-Men - children of the atom (941217 Asia)                                  | xmcota        | 1995  | Capcom        | CPS2          |                                       |
| xmcotah       |       | X-Men - children of the atom (950331 Hispanic)                              | xmcota        | 1995  | Capcom        | CPS2          |                                       |
| xmcotaj1      |       | X-Men - children of the atom (941217 Japan)                                 | xmcota        | 1994  | Capcom        | CPS2          |                                       |
| xmcotajr      |       | X-Men - children of the atom (941208 Japan, rent version)                   | xmcota        | 1994  | Capcom        | CPS2          |                                       |
| xmcotaj       |       | X-Men - children of the atom (941219 Japan)                                 | xmcota        | 1994  | Capcom        | CPS2          |                                       |
| xmcotau       |       | X-Men - children of the atom (950105 USA)                                   | xmcota        | 1995  | Capcom        | CPS2          |                                       |
| xmcota        |       | X-Men - children of the atom (950105 Euro)                                  |               | 1995  | Capcom        | CPS2          |                                       |
| xmvsfar1      |       | X-Men vs Street Fighter (960919 Asia)                                       | xmvsf         | 1996  | Capcom        | CPS2          |                                       |
| xmvsfa        |       | X-Men vs Street Fighter (961023 Asia)                                       | xmvsf         | 1996  | Capcom        | CPS2          |                                       |
| xmvsfb        |       | X-Men vs Street Fighter (961023 Brazil)                                     | xmvsf         | 1996  | Capcom        | CPS2          |                                       |
| xmvsfh        |       | X-Men vs Street Fighter (961004 Hispanic)                                   | xmvsf         | 1996  | Capcom        | CPS2          |                                       |
| xmvsfjr1      |       | X-Men vs Street Fighter (960910 Japan)                                      | xmvsf         | 1996  | Capcom        | CPS2          |                                       |
| xmvsfjr2      |       | X-Men vs Street Fighter (960909 Japan)                                      | xmvsf         | 1996  | Capcom        | CPS2          |                                       |
| xmvsfj        |       | X-Men vs Street Fighter (961004 Japan)                                      | xmvsf         | 1996  | Capcom        | CPS2          |                                       |
| xmvsfr1       |       | X-Men vs Street Fighter (960910 Euro)                                       | xmvsf         | 1996  | Capcom        | CPS2          |                                       |
| xmvsfur1      |       | X-Men vs Street Fighter (961004 USA)                                        | xmvsf         | 1996  | Capcom        | CPS2          |                                       |
| xmvsfu        |       | X-Men vs Street Fighter (961023 USA)                                        | xmvsf         | 1996  | Capcom        | CPS2          |                                       |
| xmvsf         |       | X-Men vs Street Fighter (961004 Euro)                                       |               | 1996  | Capcom        | CPS2          |                                       |
| zedblade      |       | Zed Blade                                                                   |               | 1994  | NMK           | Neo Geo       |                                       |
| zerowing      |       | Zero Wing                                                                   |               | 1989  | Toaplan       | Toaplan BCU-2 |                                       |
| zintrckb      |       | Zintrick (hack / bootleg)                                                   |               | 1996  | ADK / SNK     | Neo Geo       |                                       |
| zipzap        |       | Zip & Zap                                                                   |               | 1995  | Barko Corp    | Miscellaneous | Imperfect GFXs, No Sound              |
| zupapa        |       | Zupapa!                                                                     |               | 2001  | SNK           | Neo Geo       |                                       |
